name,datetime_utc,latitude_deg,longitude_deg,altitude_km
GSAT0206 (GALILEO 10),2025-10-17 02:52:22.045330,44.34583662359076,-157.63878555687148,23222.859309719417
GSAT0206 (GALILEO 10),2025-10-17 03:02:22.045330,46.795773057100845,-155.16053570638778,23223.968229167524
GSAT0206 (GALILEO 10),2025-10-17 03:12:22.045330,49.0090204403379,-152.23184276384808,23225.041208629355
GSAT0206 (GALILEO 10),2025-10-17 03:22:22.045330,50.94399740630268,-148.83192869419057,23226.05914901224
GSAT0206 (GALILEO 10),2025-10-17 03:32:22.045330,52.556444412113414,-144.96490260846326,23227.005024438262
GSAT0206 (GALILEO 10),2025-10-17 03:42:22.045330,53.80237217735583,-140.6701885485624,23227.864228923503
GSAT0206 (GALILEO 10),2025-10-17 03:52:22.045330,54.64238750244991,-136.02989443247714,23228.624864705067
GSAT0206 (GALILEO 10),2025-10-17 04:02:22.045330,55.04682377233749,-131.16847893903108,23229.27796599987
GSAT0206 (GALILEO 10),2025-10-17 04:12:22.045330,55.00042299951191,-126.24141332150009,23229.81765345232
GSAT0206 (GALILEO 10),2025-10-17 04:22:22.045330,54.50502588486377,-121.41398821227655,23230.24121610515
GSAT0206 (GALILEO 10),2025-10-17 04:32:22.045330,53.57923979048983,-116.8367125198244,23230.549119376163
GSAT0206 (GALILEO 10),2025-10-17 04:42:22.045330,52.25521660253944,-112.62579147885117,23230.7449391992
GSAT0206 (GALILEO 10),2025-10-17 04:52:22.045330,50.573747560406225,-108.85416643078779,23230.835224160528
GSAT0206 (GALILEO 10),2025-10-17 05:02:22.045330,48.57921645959691,-105.55314828365971,23230.82928908278
GSAT0206 (GALILEO 10),2025-10-17 05:12:22.045330,46.315536449296054,-102.72079269867707,23230.738945051216
GSAT0206 (GALILEO 10),2025-10-17 05:22:22.045330,43.82350070502174,-100.33246015420221,23230.57817229717
GSAT0206 (GALILEO 10),2025-10-17 05:32:22.045330,41.13943821212006,-98.35040393339557,23230.36274362626
GSAT0206 (GALILEO 10),2025-10-17 05:42:22.045330,38.29482306627527,-96.73102378499803,23230.10980717212
GSAT0206 (GALILEO 10),2025-10-17 05:52:22.045330,35.31646649444276,-95.42967043936527,23229.83743814616
